idx,date,question_type,regulation,duration_ms,input_tokens,output_tokens,n_retrieved_chunks,feedback,feedback_category
1,2026-03-06,infracciones,orden_justicia,10779,2097,198,5,none,
2,2026-03-06,infracciones,orden_justicia,6275,2393,115,5,none,
3,2026-03-06,infracciones,transito,13087,5295,180,5,none,
4,2026-03-06,articulos,transito,16995,3588,405,5,none,
5,2026-03-06,infracciones,transito,7464,7219,93,8,none,
6,2026-03-06,infracciones,transito,7442,7162,140,8,none,
7,2026-03-06,articulos,transito,17010,5920,499,8,none,
8,2026-03-06,articulos,orden_justicia,5502,2621,274,8,none,
9,2026-03-06,articulos,orden_justicia,9955,2639,164,8,none,
10,2026-03-06,articulos,orden_justicia,8802,3183,232,8,none,
11,2026-03-06,articulos,orden_justicia,7570,2716,193,8,none,
12,2026-03-06,articulos,orden_justicia,5943,2622,193,8,none,
13,2026-03-06,articulos,orden_justicia,7472,2619,221,8,none,
14,2026-03-06,articulos,orden_justicia,6216,2618,210,8,none,
15,2026-03-06,articulos,orden_justicia,9300,2710,232,8,none,
16,2026-03-13,definiciones,ambos,5031,4672,63,3,none,
17,2026-03-06,articulos,orden_justicia,6506,3192,144,8,none,
18,2026-03-06,articulos,orden_justicia,14350,3292,249,8,none,
19,2026-03-06,articulos,orden_justicia,12526,3184,231,8,none,
20,2026-03-06,articulos,orden_justicia,13207,2620,312,8,none,
21,2026-03-08,infracciones,transito,5351,7214,73,8,none,
22,2026-03-06,articulos,orden_justicia,23759,3197,392,8,none,
23,2026-03-06,articulos,orden_justicia,12270,2625,534,8,none,
24,2026-03-06,articulos,orden_justicia,6292,2621,198,8,none,
25,2026-03-06,articulos,orden_justicia,8644,2765,267,8,none,
26,2026-03-06,articulos,orden_justicia,5107,3331,241,8,none,
27,2026-03-06,articulos,orden_justicia,7088,3181,508,8,none,
28,2026-03-06,articulos,orden_justicia,27059,3331,276,8,none,
29,2026-03-06,articulos,orden_justicia,18924,3265,190,8,none,
30,2026-03-06,definiciones,ambos,22209,4680,136,3,none,
31,2026-03-07,infracciones,transito,7488,8184,132,8,none,
32,2026-03-06,definiciones,ambos,18030,4748,340,3,none,
33,2026-03-06,definiciones,ambos,8203,4678,108,3,none,
34,2026-03-06,definiciones,orden_justicia,4320,451,42,0,none,
35,2026-03-06,articulos,orden_justicia,6847,3179,191,8,none,
36,2026-03-06,articulos,orden_justicia,21690,3190,471,8,none,
37,2026-03-06,articulos,orden_justicia,9200,3183,354,8,none,
38,2026-03-06,definiciones,orden_justicia,13625,452,32,0,none,
39,2026-03-06,articulos,orden_justicia,8966,2616,177,8,none,
40,2026-03-06,articulos,ambos,10396,8575,177,16,none,
41,2026-03-06,articulos,ambos,11299,8838,220,16,none,
42,2026-03-06,definiciones,ambos,18801,4649,28,3,none,
43,2026-03-06,definiciones,ambos,21633,4697,98,3,none,
44,2026-03-06,definiciones,ambos,12541,4697,87,3,none,
45,2026-03-06,definiciones,ambos,10138,454,31,0,none,
46,2026-03-06,articulos,ambos,18309,3249,229,8,none,
47,2026-03-06,definiciones,ambos,12499,417,67,0,none,
48,2026-03-06,articulos,ambos,18794,2627,288,8,none,
49,2026-03-06,definiciones,ambos,12789,4706,193,3,none,
50,2026-03-07,infracciones,transito,19763,6720,194,8,none,
51,2026-03-07,infracciones,transito,8879,8535,146,8,like,
52,2026-03-07,articulos,orden_justicia,11587,2509,350,8,none,
53,2026-03-07,infracciones,orden_justicia,7472,3699,131,8,none,
54,2026-03-07,infracciones,orden_justicia,7901,3379,134,8,none,
55,2026-03-07,infracciones,orden_justicia,6269,3380,93,8,none,
56,2026-03-08,infracciones,transito,6531,7213,92,8,none,
57,2026-03-08,infracciones,transito,8405,7064,76,8,none,
58,2026-03-08,infracciones,orden_justicia,9079,3381,118,8,none,
59,2026-03-08,infracciones,transito,5953,7567,78,8,none,
60,2026-03-08,infracciones,orden_justicia,6255,4157,143,8,none,
61,2026-03-08,articulos,orden_justicia,12574,3898,268,8,none,
62,2026-03-08,infracciones,orden_justicia,11459,3427,204,8,none,
63,2026-03-08,infracciones,transito,8129,8051,132,8,none,
64,2026-03-09,infracciones,orden_justicia,11089,3071,198,8,like,Me resolviste mi duda
65,2026-03-09,infracciones,orden_justicia,14645,3547,184,8,none,
66,2026-03-09,infracciones,transito,15024,7212,130,8,like,Me resolviste mi duda
67,2026-03-09,infracciones,orden_justicia,9701,3137,244,8,none,
68,2026-03-09,articulos,orden_justicia,7793,3684,108,8,none,
69,2026-03-09,articulos,orden_justicia,12760,3929,134,8,like,Me resolviste mi duda
70,2026-03-09,articulos,orden_justicia,7218,3388,127,8,none,
71,2026-03-09,articulos,transito,8889,8242,65,8,none,
72,2026-03-09,articulos,transito,10914,3165,150,8,none,
73,2026-03-09,articulos,orden_justicia,7710,3222,137,8,none,
74,2026-03-10,articulos,transito,17348,5627,96,8,none,
75,2026-03-10,articulos,transito,11880,5222,34,8,none,
76,2026-03-10,infracciones,transito,14376,8222,317,8,none,
77,2026-03-10,infracciones,orden_justicia,12785,3453,141,8,like,Buscaré un abogado
78,2026-03-10,articulos,transito,12268,1377,335,8,like,Me resolviste mi duda
79,2026-03-11,articulos,transito,13041,2763,330,8,like,Me resolviste mi duda
80,2026-03-10,articulos,transito,12694,2021,224,8,like,Voy a hablar con una autoridad
81,2026-03-10,definiciones,orden_justicia,5044,451,48,0,none,
82,2026-03-10,articulos,orden_justicia,11960,3630,147,8,none,
83,2026-03-10,articulos,orden_justicia,10950,12554,126,16,none,
84,2026-03-10,infracciones,transito,6734,8675,128,8,none,
85,2026-03-10,infracciones,orden_justicia,12644,3373,174,8,none,
86,2026-03-11,infracciones,orden_justicia,7407,3695,114,8,none,
87,2026-03-11,articulos,transito,7029,5221,140,8,none,
88,2026-03-11,articulos,transito,9968,7051,239,8,none,
89,2026-03-11,articulos,orden_justicia,12429,3259,176,8,like,Me resolviste mi duda
90,2026-03-11,articulos,transito,16361,3249,252,8,like,
91,2026-03-11,infracciones,orden_justicia,6850,3562,75,8,none,
92,2026-03-11,articulos,orden_justicia,13614,3558,124,8,like,Voy a hablar con una autoridad
93,2026-03-11,articulos,orden_justicia,16804,3549,242,8,none,
94,2026-03-11,articulos,orden_justicia,15078,3209,221,8,like,Me resolviste mi duda
95,2026-03-11,articulos,transito,18614,5782,297,8,like,
96,2026-03-11,articulos,transito,13508,5783,120,8,none,
97,2026-03-11,definiciones,transito,11694,4692,239,3,like,Me resolviste mi duda
98,2026-03-11,articulos,ambos,10938,13331,171,16,like,
99,2026-03-11,articulos,orden_justicia,12004,3404,76,8,like,Voy a hablar con una autoridad
100,2026-03-11,articulos,transito,27213,3893,233,8,like,Voy a hablar con una autoridad
101,2026-03-11,infracciones,orden_justicia,12943,3846,265,8,none,
102,2026-03-11,infracciones,transito,7470,7063,94,8,none,
103,2026-03-11,infracciones,transito,5845,6241,70,8,none,
104,2026-03-11,infracciones,transito,7195,4800,69,8,none,
105,2026-03-11,infracciones,transito,6889,8403,136,8,like,
106,2026-03-11,infracciones,orden_justicia,6846,4144,116,8,none,
107,2026-03-11,infracciones,orden_justicia,7373,3593,114,8,like,Me resolviste mi duda
108,2026-03-11,articulos,orden_justicia,7422,3100,115,8,none,
109,2026-03-11,articulos,orden_justicia,10761,2865,190,8,none,
110,2026-03-11,articulos,ambos,8431,3537,143,8,none,
111,2026-03-11,articulos,transito,4971,5630,77,8,none,
112,2026-03-11,articulos,orden_justicia,8548,3863,166,8,like,Me resolviste mi duda
113,2026-03-11,articulos,transito,7266,7545,141,8,none,
114,2026-03-13,infracciones,orden_justicia,9438,3381,103,8,none,
115,2026-03-11,articulos,orden_justicia,16397,3888,224,8,like,Me resolviste mi duda
116,2026-03-11,articulos,transito,27646,11038,507,8,none,
117,2026-03-11,infracciones,orden_justicia,13266,3835,222,8,none,
118,2026-03-11,infracciones,orden_justicia,8105,3583,270,8,like,Me resolviste mi duda
119,2026-03-12,infracciones,transito,12243,7381,214,8,none,
120,2026-03-12,infracciones,transito,9577,6726,219,8,none,
121,2026-03-12,articulos,transito,18336,5037,323,8,none,
122,2026-03-12,articulos,transito,14661,6858,279,8,none,
123,2026-03-12,articulos,orden_justicia,10483,2559,376,8,like,Me resolviste mi duda
124,2026-03-12,infracciones,orden_justicia,12193,3699,162,8,none,
125,2026-03-12,infracciones,transito,17809,7616,233,8,none,
126,2026-03-12,infracciones,orden_justicia,6942,4032,115,8,none,
127,2026-03-12,infracciones,orden_justicia,6964,3876,96,8,none,
128,2026-03-12,articulos,transito,8195,3240,161,8,none,
129,2026-03-12,infracciones,orden_justicia,11940,3137,264,8,like,Me resolviste mi duda
130,2026-03-13,articulos,transito,8174,5264,245,8,none,
131,2026-03-13,articulos,transito,12881,6346,162,8,none,
132,2026-03-13,articulos,orden_justicia,16868,3736,220,8,like,
133,2026-03-13,articulos,orden_justicia,5387,3784,134,8,none,
134,2026-03-13,articulos,transito,7611,3126,266,8,like,
135,2026-03-13,articulos,orden_justicia,10460,3744,141,8,none,
136,2026-03-13,articulos,orden_justicia,14706,3911,153,8,none,
137,2026-03-13,articulos,orden_justicia,9574,3276,214,8,none,
138,2026-03-13,infracciones,transito,12728,7045,172,8,none,
139,2026-03-13,definiciones,ambos,7059,4759,34,3,none,
140,2026-03-14,infracciones,transito,7940,7070,144,8,none,
141,2026-03-16,infracciones,orden_justicia,7426,3659,142,8,none,
142,2026-03-16,infracciones,transito,8489,6883,114,8,none,
143,2026-03-16,infracciones,orden_justicia,6888,3969,93,8,none,
144,2026-03-16,articulos,ambos,13124,8131,78,16,none,
145,2026-03-16,articulos,orden_justicia,9892,2588,74,8,none,
146,2026-03-16,articulos,orden_justicia,7192,3261,60,8,none,
147,2026-03-16,articulos,transito,10615,6211,57,8,none,
148,2026-03-16,articulos,transito,11105,4503,167,8,none,
149,2026-03-16,infracciones,transito,8167,9373,89,8,none,
150,2026-03-16,infracciones,transito,13655,8592,217,8,none,
151,2026-03-16,infracciones,transito,16179,8607,179,8,none,
152,2026-03-16,infracciones,orden_justicia,15723,3972,124,8,none,
153,2026-03-18,infracciones,orden_justicia,7363,3715,126,8,like,Voy a hablar con una autoridad
154,2026-03-16,articulos,transito,14123,4173,175,8,none,
155,2026-03-16,infracciones,transito,11853,4057,271,8,none,
156,2026-03-16,infracciones,transito,11796,4098,308,8,none,
157,2026-03-16,infracciones,orden_justicia,16550,3607,186,8,none,
158,2026-03-17,articulos,transito,6423,7646,116,8,none,
159,2026-03-18,infracciones,transito,6130,7118,88,8,like,Me resolviste mi duda
160,2026-03-19,articulos,transito,17739,5582,660,8,none,
161,2026-03-20,articulos,transito,17121,3123,253,8,none,
162,2026-03-21,articulos,orden_justicia,12267,2512,114,8,none,
163,2026-03-21,articulos,orden_justicia,5394,3808,73,8,none,
